fips,state,county,medianAge
31157,NE,Scotts Bluff County,39.9
31159,NE,Seward County,38
31161,NE,Sheridan County,45.9
31163,NE,Sherman County,46.8
31165,NE,Sioux County,52.4
31167,NE,Stanton County,41.7
31169,NE,Thayer County,45.8
31171,NE,Thomas County,46
31173,NE,Thurston County,28
31175,NE,Valley County,44.1
31177,NE,Washington County,41.9
31179,NE,Wayne County,31.3
31181,NE,Webster County,43.9
31183,NE,Wheeler County,50.1
31185,NE,York County,39.3
32001,NV,Churchill County,38.9
32003,NV,Clark County,38.3
32005,NV,Douglas County,54.7
32007,NV,Elko County,35.5
32009,NV,Esmeralda County,52.8
32011,NV,Eureka County,45.5
32013,NV,Humboldt County,36.6
32015,NV,Lander County,37.8
32017,NV,Lincoln County,44.5
32019,NV,Lyon County,42.3
32021,NV,Mineral County,46.4
32023,NV,Nye County,52.7
32027,NV,Pershing County,42.3
32029,NV,Storey County,56.2
32031,NV,Washoe County,38.8
32033,NV,White Pine County,41.5
32510,NV,Carson City,42.2
33001,NH,Belknap County,48.4
33003,NH,Carroll County,54.5
33005,NH,Cheshire County,43.7
33007,NH,Coos County,50
33009,NH,Grafton County,44.8
33011,NH,Hillsborough County,40.9
33013,NH,Merrimack County,42.7
33015,NH,Rockingham County,44.9
33017,NH,Strafford County,38.2
33019,NH,Sullivan County,47.3
34001,NJ,Atlantic County,42.2
34003,NJ,Bergen County,42.3
34005,NJ,Burlington County,41.8
34007,NJ,Camden County,38.9
34009,NJ,Cape May County,51.8
34011,NJ,Cumberland County,38.1
34013,NJ,Essex County,38
34015,NJ,Gloucester County,40.1
34017,NJ,Hudson County,35.9
34019,NJ,Hunterdon County,46.5
34021,NJ,Mercer County,39.8
34023,NJ,Middlesex County,39.5
34025,NJ,Monmouth County,43.6
34027,NJ,Morris County,42.7
34029,NJ,Ocean County,41.5
34031,NJ,Passaic County,38
34033,NJ,Salem County,41.8
34035,NJ,Somerset County,42.4
34037,NJ,Sussex County,44.1
34039,NJ,Union County,39.4
34041,NJ,Warren County,44.3
35001,NM,Bernalillo County,39.1
35003,NM,Catron County,62.1
35005,NM,Chaves County,36.4
35006,NM,Cibola County,37.5
35007,NM,Colfax County,49.2
35009,NM,Curry County,31.8
35011,NM,De Baca County,45.6
35013,NM,Doña Ana County,33.7
35015,NM,Eddy County,35.7
35017,NM,Grant County,48.5
35019,NM,Guadalupe County,39.8
35021,NM,Harding County,60.5
35023,NM,Hidalgo County,41.9
35025,NM,Lea County,32.1
35027,NM,Lincoln County,52.1
35028,NM,Los Alamos County,40.9
35029,NM,Luna County,37.1
35031,NM,McKinley County,34.1
35033,NM,Mora County,52.6
35035,NM,Otero County,36.1
35037,NM,Quay County,46.5
35039,NM,Rio Arriba County,42.3
35041,NM,Roosevelt County,30.9
35043,NM,Sandoval County,41.1
35045,NM,San Juan County,37.4
35047,NM,San Miguel County,46.1
35049,NM,Santa Fe County,48.4
35051,NM,Sierra County,56.2
35053,NM,Socorro County,39.4
35055,NM,Taos County,50.7
35057,NM,Torrance County,43.7
35059,NM,Union County,42.6
35061,NM,Valencia County,39.5
36001,NY,Albany County,38.4
36003,NY,Allegany County,39.5
36005,NY,Bronx County,35.9
36007,NY,Broome County,39.5
36009,NY,Cattaraugus County,42.5
36011,NY,Cayuga County,43.9
36013,NY,Chautauqua County,43.2
36015,NY,Chemung County,42
36017,NY,Chenango County,45
36019,NY,Clinton County,41.3
36021,NY,Columbia County,50.1
36023,NY,Cortland County,36.7
36025,NY,Delaware County,49.1
36027,NY,Dutchess County,42.8
36029,NY,Erie County,40.4
36031,NY,Essex County,49.8
36033,NY,Franklin County,42.1
36035,NY,Fulton County,44.3
36037,NY,Genesee County,43.2
36039,NY,Greene County,47.4
36041,NY,Hamilton County,57.3
36043,NY,Herkimer County,44.2
36045,NY,Jefferson County,33.3
36047,NY,Kings County,36.7
36049,NY,Lewis County,42.6
36051,NY,Livingston County,41.5
36053,NY,Madison County,42.5
36055,NY,Monroe County,39.7
36057,NY,Montgomery County,40.2
36059,NY,Nassau County,41.9
36061,NY,New York County,39
36063,NY,Niagara County,43.2
36065,NY,Oneida County,40.9
36067,NY,Onondaga County,39.8
36069,NY,Ontario County,44.3
36071,NY,Orange County,36.8
36073,NY,Orleans County,43.5
36075,NY,Oswego County,40.7
36077,NY,Otsego County,39.9
36079,NY,Putnam County,44.1
36081,NY,Queens County,40.9
36083,NY,Rensselaer County,40.5
36085,NY,Richmond County,40.6
36087,NY,Rockland County,34.9
36089,NY,St. Lawrence County,39.8
36091,NY,Saratoga County,43.6
36093,NY,Schenectady County,39.4
36095,NY,Schoharie County,45.8
36097,NY,Schuyler County,47.4
36099,NY,Seneca County,42.7
36101,NY,Steuben County,43.1
36103,NY,Suffolk County,42
36105,NY,Sullivan County,41.9
36107,NY,Tioga County,44.7
36109,NY,Tompkins County,32.3
36111,NY,Ulster County,44.3
36113,NY,Warren County,47.1
36115,NY,Washington County,45
36117,NY,Wayne County,43.8
36119,NY,Westchester County,41.9
36121,NY,Wyoming County,43.5
36123,NY,Yates County,41.8
37001,NC,Alamance County,39
37003,NC,Alexander County,44
37005,NC,Alleghany County,51.8
37007,NC,Anson County,41.2
37009,NC,Ashe County,50.3
37011,NC,Avery County,46.7
37013,NC,Beaufort County,47.6
37015,NC,Bertie County,46.4
37017,NC,Bladen County,45.7
37019,NC,Brunswick County,56.6
37021,NC,Buncombe County,43
37023,NC,Burke County,45.7
37025,NC,Cabarrus County,37.9
37027,NC,Caldwell County,44.9
37029,NC,Camden County,40.8
37031,NC,Carteret County,50.8
37033,NC,Caswell County,46.4
37035,NC,Catawba County,41.7
37037,NC,Chatham County,48.5
37039,NC,Cherokee County,53.7
37041,NC,Chowan County,47.1
37043,NC,Clay County,55.3
37045,NC,Cleveland County,40.7
37047,NC,Columbus County,42
37049,NC,Craven County,39.4
37051,NC,Cumberland County,32
37053,NC,Currituck County,41.9
37055,NC,Dare County,48.7
37057,NC,Davidson County,42.3
37059,NC,Davie County,45.4
37061,NC,Duplin County,40.6
37063,NC,Durham County,36
37065,NC,Edgecombe County,41.8
37067,NC,Forsyth County,38.4
37069,NC,Franklin County,41.1
37071,NC,Gaston County,39.7
37073,NC,Gates County,47.1
37075,NC,Graham County,45.6
37077,NC,Granville County,42.5
37079,NC,Greene County,40.1
37081,NC,Guilford County,37.4
37083,NC,Halifax County,43.4
37085,NC,Harnett County,35.6
37087,NC,Haywood County,47.8
37089,NC,Henderson County,48.2
37091,NC,Hertford County,42.8
37093,NC,Hoke County,33.9
37095,NC,Hyde County,46.1
37097,NC,Iredell County,41
37099,NC,Jackson County,40
37101,NC,Johnston County,38.3
37103,NC,Jones County,47.3
37105,NC,Lee County,39.4
37107,NC,Lenoir County,42.3
37109,NC,Lincoln County,44
37111,NC,McDowell County,44.6
37113,NC,Macon County,50.4
37115,NC,Madison County,45.5
37117,NC,Martin County,47.3
37119,NC,Mecklenburg County,35.6
37121,NC,Mitchell County,47.7
37123,NC,Montgomery County,44.2
37125,NC,Moore County,42.8
37127,NC,Nash County,41.7
37129,NC,New Hanover County,40.8
37131,NC,Northampton County,51.8
37133,NC,Onslow County,27.6
37135,NC,Orange County,36.1
37137,NC,Pamlico County,54.1
37139,NC,Pasquotank County,39.1
37141,NC,Pender County,42.1
37143,NC,Perquimans County,50.3
37145,NC,Person County,44.5
37147,NC,Pitt County,33.3
37149,NC,Polk County,54.1
37151,NC,Randolph County,41.6
37153,NC,Richmond County,39.8
37155,NC,Robeson County,36.5
37157,NC,Rockingham County,44.7
37159,NC,Rowan County,40.6
37161,NC,Rutherford County,45.3
37163,NC,Sampson County,39.8
37165,NC,Scotland County,38.5
37167,NC,Stanly County,40.9
37169,NC,Stokes County,47.2
37171,NC,Surry County,44
37173,NC,Swain County,41.1
37175,NC,Transylvania County,52.5
37177,NC,Tyrrell County,44.4
37179,NC,Union County,39.4
37181,NC,Vance County,39.9
37183,NC,Wake County,37.3
37185,NC,Warren County,49.1
37187,NC,Washington County,48.9
37189,NC,Watauga County,31.7
37191,NC,Wayne County,37.4
37193,NC,Wilkes County,45.6
37195,NC,Wilson County,40.7
37197,NC,Yadkin County,44.8
37199,NC,Yancey County,48.5
38001,ND,Adams County,49.3
38003,ND,Barnes County,43.6
38005,ND,Benson County,30.9
38007,ND,Billings County,43.1
38009,ND,Bottineau County,44.3
38011,ND,Bowman County,42.8
38013,ND,Burke County,42.1
38015,ND,Burleigh County,38.4
38017,ND,Cass County,32.6
38019,ND,Cavalier County,47.1
38021,ND,Dickey County,40.3
38023,ND,Divide County,44.6
38025,ND,Dunn County,37.8
38027,ND,Eddy County,42
38029,ND,Emmons County,50.7
38031,ND,Foster County,43.9
38033,ND,Golden Valley County,47.6
38035,ND,Grand Forks County,30.8
38037,ND,Grant County,52.4
38039,ND,Griggs County,50.1
38041,ND,Hettinger County,41.6
38043,ND,Kidder County,45.7
38045,ND,LaMoure County,46.3
38047,ND,Logan County,46.9
38049,ND,McHenry County,43.2
38051,ND,McIntosh County,51.1
38053,ND,McKenzie County,31.5
38055,ND,McLean County,46.6
38057,ND,Mercer County,43.9
38059,ND,Morton County,38
38061,ND,Mountrail County,34.8
38063,ND,Nelson County,48.9
38065,ND,Oliver County,45.3
38067,ND,Pembina County,45.2
38069,ND,Pierce County,43.9
38071,ND,Ramsey County,40.3
38073,ND,Ransom County,43.7
38075,ND,Renville County,43.5
38077,ND,Richland County,37.9
38079,ND,Rolette County,31.9
38081,ND,Sargent County,44.5
38083,ND,Sheridan County,54.4
38085,ND,Sioux County,28
38087,ND,Slope County,51.7
38089,ND,Stark County,34.4
38091,ND,Steele County,46.4
38093,ND,Stutsman County,41.1
38095,ND,Towner County,49.6
38097,ND,Traill County,40.4
38099,ND,Walsh County,43.3
38101,ND,Ward County,33.4
38103,ND,Wells County,51
38105,ND,Williams County,32.3
39001,OH,Adams County,41.5
39003,OH,Allen County,39.3
39005,OH,Ashland County,41.2
39007,OH,Ashtabula County,42.4
39009,OH,Athens County,34.4
39011,OH,Auglaize County,40.9
39013,OH,Belmont County,43.9
39015,OH,Brown County,42.2
39017,OH,Butler County,37.7
39019,OH,Carroll County,45.6
39021,OH,Champaign County,41.8
39023,OH,Clark County,41.3
39025,OH,Clermont County,40.9
39027,OH,Clinton County,40.5
39029,OH,Columbiana County,44.3
39031,OH,Coshocton County,41.2
39033,OH,Crawford County,43.2
39035,OH,Cuyahoga County,40.5
39037,OH,Darke County,41.8
39039,OH,Defiance County,40.8
39041,OH,Delaware County,40
39043,OH,Erie County,45
39045,OH,Fairfield County,39.6
39047,OH,Fayette County,40.4
39049,OH,Franklin County,34.9
39051,OH,Fulton County,41.7
39053,OH,Gallia County,41.1
39055,OH,Geauga County,44.8
39057,OH,Greene County,39
39059,OH,Guernsey County,42
39061,OH,Hamilton County,37.1
39063,OH,Hancock County,39.5
39065,OH,Hardin County,35.5
39067,OH,Harrison County,45
39069,OH,Henry County,41.6
39071,OH,Highland County,41.3
39073,OH,Hocking County,43.2
39075,OH,Holmes County,32.4
39077,OH,Huron County,40.4
39079,OH,Jackson County,40
39081,OH,Jefferson County,44
39083,OH,Knox County,39.5
39085,OH,Lake County,44.1
39087,OH,Lawrence County,42.4
39089,OH,Licking County,40.1
39091,OH,Logan County,42.2
39093,OH,Lorain County,42.1
39095,OH,Lucas County,38.3
39097,OH,Madison County,41
39099,OH,Mahoning County,43.2
39101,OH,Marion County,40.7
39103,OH,Medina County,43.2
39105,OH,Meigs County,44.5
39107,OH,Mercer County,39.1
39109,OH,Miami County,41.2
39111,OH,Monroe County,46.1
39113,OH,Montgomery County,38.9
39115,OH,Morgan County,44.6
39117,OH,Morrow County,43.2
39119,OH,Muskingum County,40.3
39121,OH,Noble County,53.7
39123,OH,Ottawa County,50.5
39125,OH,Paulding County,41.5
39127,OH,Perry County,41.2
39129,OH,Pickaway County,39.6
39131,OH,Pike County,41.1
39133,OH,Portage County,39.4
39135,OH,Preble County,42.9
39137,OH,Putnam County,40.2
39139,OH,Richland County,40.6
39141,OH,Ross County,41.6
39143,OH,Sandusky County,42.2
39145,OH,Scioto County,40.7
39147,OH,Seneca County,40.2
39149,OH,Shelby County,39.9
39151,OH,Stark County,41.7
39153,OH,Summit County,41.3
39155,OH,Trumbull County,43.7
39157,OH,Tuscarawas County,41.4
39159,OH,Union County,38.4
39161,OH,Van Wert County,41.2
39163,OH,Vinton County,43.6
39165,OH,Warren County,39.9
39167,OH,Washington County,44
39169,OH,Wayne County,38.8
39171,OH,Williams County,41.8
39173,OH,Wood County,35.8
39175,OH,Wyandot County,42.7
40001,OK,Adair County,37.8
40003,OK,Alfalfa County,43
40005,OK,Atoka County,39.8
40007,OK,Beaver County,40.9
40009,OK,Beckham County,36.4
40011,OK,Blaine County,40.2
40013,OK,Bryan County,37.3
40015,OK,Caddo County,37.3
40017,OK,Canadian County,36.2
40019,OK,Carter County,37.9
40021,OK,Cherokee County,36.7
40023,OK,Choctaw County,40.4
40025,OK,Cimarron County,42.1
40027,OK,Cleveland County,35.4
40029,OK,Coal County,40.9
40031,OK,Comanche County,33.6
40033,OK,Cotton County,42.4
40035,OK,Craig County,41.3
40037,OK,Creek County,40.3
40039,OK,Custer County,31.6
40041,OK,Delaware County,47
40043,OK,Dewey County,38.9
40045,OK,Ellis County,44.6
40047,OK,Garfield County,36.6
40049,OK,Garvin County,39.2
40051,OK,Grady County,39.6
40053,OK,Grant County,41.9
40055,OK,Greer County,39.3
40057,OK,Harmon County,40.6
40059,OK,Harper County,41.5
40061,OK,Haskell County,41.3
40063,OK,Hughes County,38.4
40065,OK,Jackson County,35
40067,OK,Jefferson County,41.1
40069,OK,Johnston County,38.4
40071,OK,Kay County,38.4
40073,OK,Kingfisher County,37.6
40075,OK,Kiowa County,41.4
40077,OK,Latimer County,41.2
40079,OK,Le Flore County,38.9
40081,OK,Lincoln County,41.1
40083,OK,Logan County,40.2
40085,OK,Love County,39
40087,OK,McClain County,38.7
40089,OK,McCurtain County,37.6
40091,OK,McIntosh County,46.7
40093,OK,Major County,41.4
40095,OK,Marshall County,42.7
40097,OK,Mayes County,40.5
40099,OK,Murray County,42.2
40101,OK,Muskogee County,37.8
40103,OK,Noble County,42.1
40105,OK,Nowata County,41.1
40107,OK,Okfuskee County,40.4
40109,OK,Oklahoma County,35.4
40111,OK,Okmulgee County,39
40113,OK,Osage County,43.3
40115,OK,Ottawa County,37.2
40117,OK,Pawnee County,41.2
40119,OK,Payne County,27.4
40121,OK,Pittsburg County,40.7
40123,OK,Pontotoc County,36.9
40125,OK,Pottawatomie County,38.3
40127,OK,Pushmataha County,44.5
40129,OK,Roger Mills County,42
40131,OK,Rogers County,39.4
40133,OK,Seminole County,39.4
40135,OK,Sequoyah County,40.1
40137,OK,Stephens County,41.7
40139,OK,Texas County,33.5
40141,OK,Tillman County,41.3
40143,OK,Tulsa County,36.3
40145,OK,Wagoner County,39.1
40147,OK,Washington County,39.5
40149,OK,Washita County,40.2
40151,OK,Woods County,33.8
40153,OK,Woodward County,38.3
41001,OR,Baker County,47.1
41003,OR,Benton County,33.8
41005,OR,Clackamas County,42.1
41007,OR,Clatsop County,45.6
41009,OR,Columbia County,43.1
41011,OR,Coos County,48.6
41013,OR,Crook County,46.1
41015,OR,Curry County,57.6
41017,OR,Deschutes County,42.8
41019,OR,Douglas County,46.5
41021,OR,Gilliam County,50.4
41023,OR,Grant County,50.9
41025,OR,Harney County,46.1
41027,OR,Hood River County,40.7
41029,OR,Jackson County,42.7
41031,OR,Jefferson County,40.2
41033,OR,Josephine County,47.4
41035,OR,Klamath County,41.3
41037,OR,Lake County,46.8
41039,OR,Lane County,40.6
41041,OR,Lincoln County,53.3
41043,OR,Linn County,40
41045,OR,Malheur County,36
41047,OR,Marion County,37.4
41049,OR,Morrow County,36.8
41051,OR,Multnomah County,38.8
41053,OR,Polk County,38.1
41055,OR,Sherman County,46.6
41057,OR,Tillamook County,49
41059,OR,Umatilla County,36.7
41061,OR,Union County,39.8
41063,OR,Wallowa County,48.9
41065,OR,Wasco County,40.9
41067,OR,Washington County,38.1
41069,OR,Wheeler County,59.5
41071,OR,Yamhill County,39.8
42001,PA,Adams County,43.9
42003,PA,Allegheny County,40.6
42005,PA,Armstrong County,47.1
42007,PA,Beaver County,44.9
42009,PA,Bedford County,47.1
42011,PA,Berks County,39.9
42013,PA,Blair County,43.1
42015,PA,Bradford County,43.9
42017,PA,Bucks County,44.2
42019,PA,Butler County,43.6
42021,PA,Cambria County,45.6
42023,PA,Cameron County,52.8
42025,PA,Carbon County,46
42027,PA,Centre County,34
42029,PA,Chester County,40.7
42031,PA,Clarion County,40.8
42033,PA,Clearfield County,45.5
42035,PA,Clinton County,39.3
42037,PA,Columbia County,40.6
42039,PA,Crawford County,44
42041,PA,Cumberland County,40
42043,PA,Dauphin County,39.4
42045,PA,Delaware County,39.2
42047,PA,Elk County,48.2
42049,PA,Erie County,40.5
42051,PA,Fayette County,45.3
42053,PA,Forest County,47.9
42055,PA,Franklin County,42.2
42057,PA,Fulton County,46
42059,PA,Greene County,43.2
42061,PA,Huntingdon County,44
42063,PA,Indiana County,39.7
42065,PA,Jefferson County,44.2
42067,PA,Juniata County,43.2
42069,PA,Lackawanna County,41.8
42071,PA,Lancaster County,39.2
42073,PA,Lawrence County,44.9
42075,PA,Lebanon County,41.2
42077,PA,Lehigh County,39.1
42079,PA,Luzerne County,41.8
42081,PA,Lycoming County,41.4
42083,PA,McKean County,43.3
42085,PA,Mercer County,45
42087,PA,Mifflin County,42.9
42089,PA,Monroe County,43.9
42091,PA,Montgomery County,41.2
42093,PA,Montour County,42.9
42095,PA,Northampton County,41.7
42097,PA,Northumberland County,44.3
42099,PA,Perry County,43.8
42101,PA,Philadelphia County,35.1
42103,PA,Pike County,49.2
42105,PA,Potter County,47.8
42107,PA,Schuylkill County,43.7
42109,PA,Snyder County,41.1
42111,PA,Somerset County,46.7
42113,PA,Sullivan County,56.8
42115,PA,Susquehanna County,48.8
42117,PA,Tioga County,44.9
42119,PA,Union County,39.1
42121,PA,Venango County,48
42123,PA,Warren County,47.6
42125,PA,Washington County,44.2
42127,PA,Wayne County,48.8
42129,PA,Westmoreland County,47.2
42131,PA,Wyoming County,45.1
42133,PA,York County,41.2
44001,RI,Bristol County,44.3
44003,RI,Kent County,43.6
44005,RI,Newport County,47.4
44007,RI,Providence County,38.2
44009,RI,Washington County,45.4
45001,SC,Abbeville County,44.6
45003,SC,Aiken County,41.9
45005,SC,Allendale County,43
45007,SC,Anderson County,40.4
45009,SC,Bamberg County,44.2
45011,SC,Barnwell County,40.6
45013,SC,Beaufort County,48.4
45015,SC,Berkeley County,37.3
45017,SC,Calhoun County,47.3
45019,SC,Charleston County,39.6
45021,SC,Cherokee County,39.6
45023,SC,Chester County,41.9
45025,SC,Chesterfield County,42.2
45027,SC,Clarendon County,46.1
45029,SC,Colleton County,42.2
45031,SC,Darlington County,41
45033,SC,Dillon County,38.6
45035,SC,Dorchester County,38.1
45037,SC,Edgefield County,43
45039,SC,Fairfield County,48.5
45041,SC,Florence County,39.2
45043,SC,Georgetown County,52.7
45045,SC,Greenville County,38.5
45047,SC,Greenwood County,39.8
45049,SC,Hampton County,41.2
45051,SC,Horry County,49
45053,SC,Jasper County,46.3
45055,SC,Kershaw County,41
45057,SC,Lancaster County,42.6
45059,SC,Laurens County,41.3
45061,SC,Lee County,42.2
45063,SC,Lexington County,39.9
45065,SC,McCormick County,59.6
45067,SC,Marion County,42.5
45069,SC,Marlboro County,41.1
45071,SC,Newberry County,42.2
45073,SC,Oconee County,47.2
45075,SC,Orangeburg County,40.9
45077,SC,Pickens County,36.1
45079,SC,Richland County,34.3
45081,SC,Saluda County,43.2
45083,SC,Spartanburg County,37.9
45085,SC,Sumter County,37.1
45087,SC,Union County,44.1
45089,SC,Williamsburg County,43.7
45091,SC,York County,39.5
46003,SD,Aurora County,40.6
46005,SD,Beadle County,37.4
46007,SD,Bennett County,31.7
46009,SD,Bon Homme County,41.4
46011,SD,Brookings County,27.6
46013,SD,Brown County,38.3
46015,SD,Brule County,42.2
46017,SD,Buffalo County,26
46019,SD,Butte County,40.2
46021,SD,Campbell County,55.8
46023,SD,Charles Mix County,35.8
46025,SD,Clark County,39.9
46027,SD,Clay County,25.2
46029,SD,Codington County,40.3
46031,SD,Corson County,29.4
46033,SD,Custer County,56.7
46035,SD,Davison County,40.1
46037,SD,Day County,46.4
46039,SD,Deuel County,42.4
46041,SD,Dewey County,27.1
46043,SD,Douglas County,42.2
46045,SD,Edmunds County,45.2
46047,SD,Fall River County,53.1
46049,SD,Faulk County,42.8
46051,SD,Grant County,46.3
46053,SD,Gregory County,44.7
46055,SD,Haakon County,45
46057,SD,Hamlin County,31.6
46059,SD,Hand County,44.6
46061,SD,Hanson County,39.7
46063,SD,Harding County,41.9
46065,SD,Hughes County,39.3
46067,SD,Hutchinson County,41.4
46069,SD,Hyde County,43.4
46071,SD,Jackson County,28.4
46073,SD,Jerauld County,47.7
46075,SD,Jones County,49.4
46077,SD,Kingsbury County,42.7
46079,SD,Lake County,44.6
46081,SD,Lawrence County,44.6
46083,SD,Lincoln County,36.1
46085,SD,Lyman County,36.9
46087,SD,McCook County,38.4
46089,SD,McPherson County,49.5
46091,SD,Marshall County,42.6
46093,SD,Meade County,37.5
46095,SD,Mellette County,32.2
46097,SD,Miner County,44.9
46099,SD,Minnehaha County,35.9
46101,SD,Moody County,40.6
46102,SD,Oglala Lakota County,27
46103,SD,Pennington County,40.5
46105,SD,Perkins County,47.7
46107,SD,Potter County,46.9
46109,SD,Roberts County,37.9
46111,SD,Sanborn County,41.9
46115,SD,Spink County,44.6
46117,SD,Stanley County,42.4
46119,SD,Sully County,48.3
46121,SD,Todd County,23.3
46123,SD,Tripp County,43.7
46125,SD,Turner County,41.9
46127,SD,Union County,40.9
46129,SD,Walworth County,42.7
46135,SD,Yankton County,42
46137,SD,Ziebach County,33.1
47001,TN,Anderson County,42.1
47003,TN,Bedford County,37.2
47005,TN,Benton County,46.9
47007,TN,Bledsoe County,46.2
47009,TN,Blount County,44
47011,TN,Bradley County,40.2
47013,TN,Campbell County,43.8
47015,TN,Cannon County,41.8
47017,TN,Carroll County,41.4
47019,TN,Carter County,46.5
47021,TN,Cheatham County,41.4
47023,TN,Chester County,37.8
47025,TN,Claiborne County,43.1
47027,TN,Clay County,48
47029,TN,Cocke County,45.4
47031,TN,Coffee County,39.6
47033,TN,Crockett County,40.2
47035,TN,Cumberland County,53.3
47037,TN,Davidson County,35
47039,TN,Decatur County,45.7
47041,TN,DeKalb County,42.1
47043,TN,Dickson County,40.2
47045,TN,Dyer County,39.3
47047,TN,Fayette County,47.7
47049,TN,Fentress County,46.5
47051,TN,Franklin County,42.2
47053,TN,Gibson County,39.5
47055,TN,Giles County,43.1
47057,TN,Grainger County,46.1
47059,TN,Greene County,45.2
47061,TN,Grundy County,43.2
47063,TN,Hamblen County,40.5
47065,TN,Hamilton County,39.9
47067,TN,Hancock County,44.6
47069,TN,Hardeman County,40.4
47071,TN,Hardin County,46.1
47073,TN,Hawkins County,45.9
47075,TN,Haywood County,42.7
47077,TN,Henderson County,41.5
47079,TN,Henry County,46.3
47081,TN,Hickman County,41.3
47083,TN,Houston County,43.8
47085,TN,Humphreys County,43
47087,TN,Jackson County,47.5
47089,TN,Jefferson County,44.7
47091,TN,Johnson County,47.7
47093,TN,Knox County,37.6
47095,TN,Lake County,40.2
47097,TN,Lauderdale County,39.2
47099,TN,Lawrence County,39.1
47101,TN,Lewis County,42.7
47103,TN,Lincoln County,42.5
47105,TN,Loudon County,49.9
47107,TN,McMinn County,42.6
47109,TN,McNairy County,43.1
47111,TN,Macon County,38.1
47113,TN,Madison County,39.1
47115,TN,Marion County,44.4
47117,TN,Marshall County,39.5
47119,TN,Maury County,39.2
47121,TN,Meigs County,45.5
47123,TN,Monroe County,45
47125,TN,Montgomery County,31.6
47127,TN,Moore County,45.3
47129,TN,Morgan County,42.4
47131,TN,Obion County,42.6
47133,TN,Overton County,43.3
47135,TN,Perry County,42.6
47137,TN,Pickett County,51.5
47139,TN,Polk County,46.2
47141,TN,Putnam County,36.1
47143,TN,Rhea County,41.6
47145,TN,Roane County,46.9
47147,TN,Robertson County,39.3
47149,TN,Rutherford County,34.4
47151,TN,Scott County,40.4
47153,TN,Sequatchie County,44.7
47155,TN,Sevier County,44.1
47157,TN,Shelby County,36
47159,TN,Smith County,40.8
47161,TN,Stewart County,43.6
47163,TN,Sullivan County,44.8
47165,TN,Sumner County,40
47167,TN,Tipton County,39
47169,TN,Trousdale County,34.9
47171,TN,Unicoi County,47.3
47173,TN,Union County,43
47175,TN,Van Buren County,46.8
47177,TN,Warren County,40.5
47179,TN,Washington County,40.5
47181,TN,Wayne County,43.7
47183,TN,Weakley County,37.3
47185,TN,White County,43.2
47187,TN,Williamson County,40.4
47189,TN,Wilson County,39.9
48001,TX,Anderson County,39.3
48003,TX,Andrews County,32.2
48005,TX,Angelina County,37.4
48007,TX,Aransas County,49.7
48009,TX,Archer County,42.7
48011,TX,Armstrong County,43.3
48013,TX,Atascosa County,35.9
48015,TX,Austin County,41.5
48017,TX,Bailey County,33.7
48019,TX,Bandera County,52.5
48021,TX,Bastrop County,37.2
48023,TX,Baylor County,43.1
48025,TX,Bee County,35.8
48027,TX,Bell County,32.1
48029,TX,Bexar County,34.6
48031,TX,Blanco County,50.7
48033,TX,Borden County,48.3
48035,TX,Bosque County,46.4
48037,TX,Bowie County,38.2
48039,TX,Brazoria County,36.6
48041,TX,Brazos County,26.7
48043,TX,Brewster County,45.1
48045,TX,Briscoe County,45.5
48047,TX,Brooks County,33.4
48049,TX,Brown County,42
48051,TX,Burleson County,43
48053,TX,Burnet County,45
48055,TX,Caldwell County,37.5
48057,TX,Calhoun County,40.1
48059,TX,Callahan County,43.4
48061,TX,Cameron County,32.5
48063,TX,Camp County,37.6
48065,TX,Carson County,41.3
48067,TX,Cass County,43.7
48069,TX,Castro County,34.4
48071,TX,Chambers County,34.6
48073,TX,Cherokee County,38.1
48075,TX,Childress County,33.9
48077,TX,Clay County,46.5
48079,TX,Cochran County,36.3
48081,TX,Coke County,45.7
48083,TX,Coleman County,47.4
48085,TX,Collin County,37.3
48087,TX,Collingsworth County,39.1
48089,TX,Colorado County,42.1
48091,TX,Comal County,41.5
48093,TX,Comanche County,43.9
48095,TX,Concho County,47.4
48097,TX,Cooke County,40.7
48099,TX,Coryell County,32.8
48101,TX,Cottle County,46.4
48103,TX,Crane County,33.8
48105,TX,Crockett County,40.2
48107,TX,Crosby County,38
48109,TX,Culberson County,40.7
48111,TX,Dallam County,30.5
48113,TX,Dallas County,34
48115,TX,Dawson County,33.4
48117,TX,Deaf Smith County,31.2
48119,TX,Delta County,41.2
48121,TX,Denton County,37
48123,TX,DeWitt County,41.4
48125,TX,Dickens County,48.5
48127,TX,Dimmit County,34.3
48129,TX,Donley County,42.2
48131,TX,Duval County,35.3
48133,TX,Eastland County,42.2
48135,TX,Ector County,31.2
48137,TX,Edwards County,48.3
48139,TX,Ellis County,36.2
48141,TX,El Paso County,33.2
48143,TX,Erath County,32.1
48145,TX,Falls County,39.6
48147,TX,Fannin County,40.6
48149,TX,Fayette County,47.6
48151,TX,Fisher County,44.5
48153,TX,Floyd County,38.2
48155,TX,Foard County,47.9
48157,TX,Fort Bend County,37.3
48159,TX,Franklin County,43.3
48161,TX,Freestone County,42.4
48163,TX,Frio County,32.1
48165,TX,Gaines County,28.1
48167,TX,Galveston County,38.8
48169,TX,Garza County,34.6
48171,TX,Gillespie County,49.9
48173,TX,Glasscock County,35.7
48175,TX,Goliad County,45.9
48177,TX,Gonzales County,37.3
48179,TX,Gray County,37.8
