fips,state,county,lessThanHighSchoolProp
6059,CA,Orange County,0.133889195
6061,CA,Placer County,0.051744019
6063,CA,Plumas County,0.054495913
6065,CA,Riverside County,0.170094952
6067,CA,Sacramento County,0.119347822
6069,CA,San Benito County,0.167487804
6071,CA,San Bernardino County,0.188953636
6073,CA,San Diego County,0.116848286
6075,CA,San Francisco County,0.11219663
6077,CA,San Joaquin County,0.197005281
6079,CA,San Luis Obispo County,0.080673382
6081,CA,San Mateo County,0.091809602
6083,CA,Santa Barbara County,0.180919822
6085,CA,Santa Clara County,0.108127336
6087,CA,Santa Cruz County,0.117243104
6089,CA,Shasta County,0.08935611
6091,CA,Sierra County,0.056350238
6093,CA,Siskiyou County,0.100859634
6095,CA,Solano County,0.111493028
6097,CA,Sonoma County,0.108344906
6099,CA,Stanislaus County,0.200468792
6101,CA,Sutter County,0.203508447
6103,CA,Tehama County,0.142313004
6105,CA,Trinity County,0.061154246
6107,CA,Tulare County,0.273818972
6109,CA,Tuolumne County,0.079082417
6111,CA,Ventura County,0.143749402
6113,CA,Yolo County,0.123989725
6115,CA,Yuba County,0.188320507
8000,CO,Colorado,0.076356857
8001,CO,Adams County,0.151358077
8003,CO,Alamosa County,0.130527817
8005,CO,Arapahoe County,0.079306327
8007,CO,Archuleta County,0.059637077
8009,CO,Baca County,0.14459725
8011,CO,Bent County,0.129160238
8013,CO,Boulder County,0.045126008
8014,CO,Broomfield County,0.034154777
8015,CO,Chaffee County,0.055911588
8017,CO,Cheyenne County,0.069686411
8019,CO,Clear Creek County,0.026520649
8021,CO,Conejos County,0.105400522
8023,CO,Costilla County,0.131386861
8025,CO,Crowley County,0.109738717
8027,CO,Custer County,0.017128874
8029,CO,Delta County,0.103588089
8031,CO,Denver County,0.099676136
8033,CO,Dolores County,0.035696073
8035,CO,Douglas County,0.021243769
8037,CO,Eagle County,0.082945717
8039,CO,Elbert County,0.036503828
8041,CO,El Paso County,0.055504447
8043,CO,Fremont County,0.103221045
8045,CO,Garfield County,0.104013484
8047,CO,Gilpin County,0.062660393
8049,CO,Grand County,0.05552279
8051,CO,Gunnison County,0.020417506
8053,CO,Hinsdale County,0.036290323
8055,CO,Huerfano County,0.079014277
8057,CO,Jackson County,0.139017609
8059,CO,Jefferson County,0.048608729
8061,CO,Kiowa County,0.029001074
8063,CO,Kit Carson County,0.108000836
8065,CO,Lake County,0.11719769
8067,CO,La Plata County,0.03405712
8069,CO,Larimer County,0.036758322
8071,CO,Las Animas County,0.118160488
8073,CO,Lincoln County,0.112669361
8075,CO,Logan County,0.085742509
8077,CO,Mesa County,0.084514086
8079,CO,Mineral County,0.020895522
8081,CO,Moffat County,0.080201342
8083,CO,Montezuma County,0.091237336
8085,CO,Montrose County,0.112155079
8087,CO,Morgan County,0.192833039
8089,CO,Otero County,0.121583188
8091,CO,Ouray County,0.013798294
8093,CO,Park County,0.025413967
8095,CO,Phillips County,0.132280702
8097,CO,Pitkin County,0.02491262
8099,CO,Prowers County,0.178302621
8101,CO,Pueblo County,0.094676357
8103,CO,Rio Blanco County,0.085323441
8105,CO,Rio Grande County,0.10914787
8107,CO,Routt County,0.033270928
8109,CO,Saguache County,0.133403361
8111,CO,San Juan County,0.034234234
8113,CO,San Miguel County,0.017141942
8115,CO,Sedgwick County,0.112635792
8117,CO,Summit County,0.054563492
8119,CO,Teller County,0.021588361
8121,CO,Washington County,0.085824208
8123,CO,Weld County,0.119113282
8125,CO,Yuma County,0.125210213
9000,CT,Connecticut,0.089466697
9001,CT,Fairfield County,0.098059124
9003,CT,Hartford County,0.096942184
9005,CT,Litchfield County,0.06109383
9007,CT,Middlesex County,0.050133078
9009,CT,New Haven County,0.096765656
9011,CT,New London County,0.069607559
9013,CT,Tolland County,0.051773279
9015,CT,Windham County,0.105692148
10000,DE,Delaware,0.089467694
10001,DE,Kent County,0.111818204
10003,DE,New Castle County,0.076263064
10005,DE,Sussex County,0.103599161
11000,DC,District of Columbia,0.077777277
11001,DC,District of Columbia,0.077777277
12000,FL,Florida,0.109614516
12001,FL,Alachua County,0.068206711
12003,FL,Baker County,0.141816646
12005,FL,Bay County,0.099211416
12007,FL,Bradford County,0.180195683
12009,FL,Brevard County,0.075093063
12011,FL,Broward County,0.100315131
12013,FL,Calhoun County,0.223349754
12015,FL,Charlotte County,0.082470806
12017,FL,Citrus County,0.101020029
12019,FL,Clay County,0.080815198
12021,FL,Collier County,0.105242295
12023,FL,Columbia County,0.135246761
12027,FL,DeSoto County,0.252119589
12029,FL,Dixie County,0.190987813
12031,FL,Duval County,0.095004033
12033,FL,Escambia County,0.094005165
12035,FL,Flagler County,0.076792412
12037,FL,Franklin County,0.211085643
12039,FL,Gadsden County,0.192192867
12041,FL,Gilchrist County,0.13690428
12043,FL,Glades County,0.30577062
12045,FL,Gulf County,0.132612552
12047,FL,Hamilton County,0.240815541
12049,FL,Hardee County,0.237592715
12051,FL,Hendry County,0.306808663
12053,FL,Hernando County,0.110120973
12055,FL,Highlands County,0.140923322
12057,FL,Hillsborough County,0.108164109
12059,FL,Holmes County,0.195157792
12061,FL,Indian River County,0.088691525
12063,FL,Jackson County,0.166462668
12065,FL,Jefferson County,0.161948956
12067,FL,Lafayette County,0.263800602
12069,FL,Lake County,0.096196112
12071,FL,Lee County,0.102327489
12073,FL,Leon County,0.068014263
12075,FL,Levy County,0.124406366
12077,FL,Liberty County,0.230006954
12079,FL,Madison County,0.195304955
12081,FL,Manatee County,0.097408277
12083,FL,Marion County,0.116170256
12085,FL,Martin County,0.07896495
12086,FL,Miami-Dade County,0.175102821
12087,FL,Monroe County,0.079330354
12089,FL,Nassau County,0.085036457
12091,FL,Okaloosa County,0.071190785
12093,FL,Okeechobee County,0.19377863
12095,FL,Orange County,0.105328968
12097,FL,Osceola County,0.1338992
12099,FL,Palm Beach County,0.109333991
12101,FL,Pasco County,0.095656109
12103,FL,Pinellas County,0.078532266
12105,FL,Polk County,0.136426373
12107,FL,Putnam County,0.181385753
12109,FL,St. Johns County,0.05300202
12111,FL,St. Lucie County,0.117818845
12113,FL,Santa Rosa County,0.077172603
12115,FL,Sarasota County,0.063161325
12117,FL,Seminole County,0.058198915
12119,FL,Sumter County,0.077800152
12121,FL,Suwannee County,0.17093129
12123,FL,Taylor County,0.178008506
12125,FL,Union County,0.226809378
12127,FL,Volusia County,0.088683995
12129,FL,Wakulla County,0.118215768
12131,FL,Walton County,0.087758493
12133,FL,Washington County,0.164285714
13000,GA,Georgia,0.117581392
13001,GA,Appling County,0.222042271
13003,GA,Atkinson County,0.331560957
13005,GA,Bacon County,0.166575342
13007,GA,Baker County,0.163627863
13009,GA,Baldwin County,0.143018346
13011,GA,Banks County,0.230983672
13013,GA,Barrow County,0.122763942
13015,GA,Bartow County,0.134483524
13017,GA,Ben Hill County,0.162278809
13019,GA,Berrien County,0.194165471
13021,GA,Bibb County,0.136098484
13023,GA,Bleckley County,0.124235006
13025,GA,Brantley County,0.187108685
13027,GA,Brooks County,0.184433463
13029,GA,Bryan County,0.077157883
13031,GA,Bulloch County,0.117993242
13033,GA,Burke County,0.160792667
13035,GA,Butts County,0.188490598
13037,GA,Calhoun County,0.234268206
13039,GA,Camden County,0.081798826
13043,GA,Candler County,0.218616802
13045,GA,Carroll County,0.14404152
13047,GA,Catoosa County,0.108843248
13049,GA,Charlton County,0.191892487
13051,GA,Chatham County,0.093843282
13053,GA,Chattahoochee County,0.049251465
13055,GA,Chattooga County,0.280165627
13057,GA,Cherokee County,0.080504098
13059,GA,Clarke County,0.102883194
13061,GA,Clay County,0.195702943
13063,GA,Clayton County,0.146288471
13065,GA,Clinch County,0.257691468
13067,GA,Cobb County,0.070877585
13069,GA,Coffee County,0.228205399
13071,GA,Colquitt County,0.235896064
13073,GA,Columbia County,0.07083309
13075,GA,Cook County,0.186178862
13077,GA,Coweta County,0.095022532
13079,GA,Crawford County,0.187260258
13081,GA,Crisp County,0.166231127
13083,GA,Dade County,0.171649161
13085,GA,Dawson County,0.116186111
13087,GA,Decatur County,0.155649101
13089,GA,DeKalb County,0.092767598
13091,GA,Dodge County,0.140917861
13093,GA,Dooly County,0.199672093
13095,GA,Dougherty County,0.164402685
13097,GA,Douglas County,0.116924863
13099,GA,Early County,0.198349459
13101,GA,Echols County,0.209803922
13103,GA,Effingham County,0.0964851
13105,GA,Elbert County,0.208052231
13107,GA,Emanuel County,0.198524525
13109,GA,Evans County,0.228219295
13111,GA,Fannin County,0.123647131
13113,GA,Fayette County,0.051489203
13115,GA,Floyd County,0.162980014
13117,GA,Forsyth County,0.063748473
13119,GA,Franklin County,0.182336543
13121,GA,Fulton County,0.067543745
13123,GA,Gilmer County,0.149664605
13125,GA,Glascock County,0.181678608
13127,GA,Glynn County,0.110344944
13129,GA,Gordon County,0.232672499
13131,GA,Grady County,0.202638162
13133,GA,Greene County,0.123689575
13135,GA,Gwinnett County,0.121222556
13137,GA,Habersham County,0.194646729
13139,GA,Hall County,0.193588497
13141,GA,Hancock County,0.309737113
13143,GA,Haralson County,0.169299232
13145,GA,Harris County,0.066946651
13147,GA,Hart County,0.178689047
13149,GA,Heard County,0.179568933
13151,GA,Henry County,0.07610179
13153,GA,Houston County,0.069894151
13155,GA,Irwin County,0.211391837
13157,GA,Jackson County,0.137340685
13159,GA,Jasper County,0.123919308
13161,GA,Jeff Davis County,0.204557278
13163,GA,Jefferson County,0.202828433
13165,GA,Jenkins County,0.177735002
13167,GA,Johnson County,0.24758508
13169,GA,Jones County,0.088017675
13171,GA,Lamar County,0.103158934
13173,GA,Lanier County,0.146568554
13175,GA,Laurens County,0.136198327
13177,GA,Lee County,0.088437925
13179,GA,Liberty County,0.085690627
13181,GA,Lincoln County,0.164728682
13183,GA,Long County,0.175472058
13185,GA,Lowndes County,0.110835949
13187,GA,Lumpkin County,0.116444572
13189,GA,McDuffie County,0.159048985
13191,GA,McIntosh County,0.165489405
13193,GA,Macon County,0.274492099
13195,GA,Madison County,0.181743142
13197,GA,Marion County,0.230430797
13199,GA,Meriwether County,0.205767518
13201,GA,Miller County,0.14929714
13205,GA,Mitchell County,0.174774655
13207,GA,Monroe County,0.112896559
13209,GA,Montgomery County,0.190839695
13211,GA,Morgan County,0.104979134
13213,GA,Murray County,0.272229514
13215,GA,Muscogee County,0.115838446
13217,GA,Newton County,0.109693628
13219,GA,Oconee County,0.039795765
13221,GA,Oglethorpe County,0.151066692
13223,GA,Paulding County,0.092490657
13225,GA,Peach County,0.149712948
13227,GA,Pickens County,0.118646885
13229,GA,Pierce County,0.13877706
13231,GA,Pike County,0.119415808
13233,GA,Polk County,0.18049917
13235,GA,Pulaski County,0.196089009
13237,GA,Putnam County,0.123611812
13239,GA,Quitman County,0.310895608
13241,GA,Rabun County,0.143531262
13243,GA,Randolph County,0.209666122
13245,GA,Richmond County,0.136309216
13247,GA,Rockdale County,0.105944531
13249,GA,Schley County,0.13555409
13251,GA,Screven County,0.166049074
13253,GA,Seminole County,0.141313998
13255,GA,Spalding County,0.162071901
13257,GA,Stephens County,0.161110805
13259,GA,Stewart County,0.289767442
13261,GA,Sumter County,0.166604488
13263,GA,Talbot County,0.180805094
13265,GA,Taliaferro County,0.176061776
13267,GA,Tattnall County,0.220620088
13269,GA,Taylor County,0.237517832
13271,GA,Telfair County,0.296239109
13273,GA,Terrell County,0.207709824
13275,GA,Thomas County,0.131587362
13277,GA,Tift County,0.159682383
13279,GA,Toombs County,0.176736987
13281,GA,Towns County,0.074768369
13283,GA,Treutlen County,0.247982914
13285,GA,Troup County,0.128552451
13287,GA,Turner County,0.203362431
13289,GA,Twiggs County,0.196399345
13291,GA,Union County,0.122523844
13293,GA,Upson County,0.173092305
13295,GA,Walker County,0.156281365
13297,GA,Walton County,0.122143948
13299,GA,Ware County,0.182047937
13301,GA,Warren County,0.284589131
13303,GA,Washington County,0.160039691
13305,GA,Wayne County,0.154815614
13307,GA,Webster County,0.19408284
13309,GA,Wheeler County,0.270164986
13311,GA,White County,0.14831153
13313,GA,Whitfield County,0.276812768
13315,GA,Wilcox County,0.177278402
13317,GA,Wilkes County,0.191733639
13319,GA,Wilkinson County,0.133076181
13321,GA,Worth County,0.150797981
15000,HI,Hawaii,0.07297765
15001,HI,Hawaii County,0.071752477
15003,HI,Honolulu County,0.072521903
15005,HI,Kalawao County,0.063829787
15007,HI,Kauai County,0.079159042
15009,HI,Maui County,0.074453187
16000,ID,Idaho,0.088325401
16001,ID,Ada County,0.049702234
16003,ID,Adams County,0.074992705
16005,ID,Bannock County,0.067119457
16007,ID,Bear Lake County,0.068906745
16009,ID,Benewah County,0.141903915
16011,ID,Bingham County,0.106745093
16013,ID,Blaine County,0.099752534
16015,ID,Boise County,0.052930372
16017,ID,Bonner County,0.081014117
16019,ID,Bonneville County,0.074976367
16021,ID,Boundary County,0.117153285
16023,ID,Butte County,0.10783798
16025,ID,Camas County,0.204735376
16027,ID,Canyon County,0.134754569
16029,ID,Caribou County,0.103092784
16031,ID,Cassia County,0.156888369
16033,ID,Clark County,0.346153846
16035,ID,Clearwater County,0.075702431
16037,ID,Custer County,0.129914005
16039,ID,Elmore County,0.10746619
16041,ID,Franklin County,0.072536387
16043,ID,Fremont County,0.114635251
16045,ID,Gem County,0.12203106
16047,ID,Gooding County,0.228314652
16049,ID,Idaho County,0.078466705
16051,ID,Jefferson County,0.08206739
16053,ID,Jerome County,0.23694207
16055,ID,Kootenai County,0.064629387
16057,ID,Latah County,0.034840333
16059,ID,Lemhi County,0.100363757
16061,ID,Lewis County,0.100309837
16063,ID,Lincoln County,0.186638706
16065,ID,Madison County,0.043862461
16067,ID,Minidoka County,0.208847427
16069,ID,Nez Perce County,0.068382807
16071,ID,Oneida County,0.099114441
16073,ID,Owyhee County,0.251407369
16075,ID,Payette County,0.138554948
16077,ID,Power County,0.205473856
16079,ID,Shoshone County,0.115964802
16081,ID,Teton County,0.076070529
16083,ID,Twin Falls County,0.129697863
16085,ID,Valley County,0.094507449
16087,ID,Washington County,0.121868653
17000,IL,Illinois,0.101007795
17001,IL,Adams County,0.07557305
17003,IL,Alexander County,0.137994239
17005,IL,Bond County,0.112373632
17007,IL,Boone County,0.129189846
17009,IL,Brown County,0.193122837
17011,IL,Bureau County,0.094053142
17013,IL,Calhoun County,0.072394112
17015,IL,Carroll County,0.120765315
17017,IL,Cass County,0.150633345
17019,IL,Champaign County,0.052290514
17021,IL,Christian County,0.105890112
17023,IL,Clark County,0.069562017
17025,IL,Clay County,0.116219119
17027,IL,Clinton County,0.08703395
17029,IL,Coles County,0.080753481
17031,IL,Cook County,0.120266065
17033,IL,Crawford County,0.13685509
17035,IL,Cumberland County,0.070764254
17037,IL,DeKalb County,0.073655339
17039,IL,De Witt County,0.068777877
17041,IL,Douglas County,0.161162685
17043,IL,DuPage County,0.06513435
17045,IL,Edgar County,0.11995822
17047,IL,Edwards County,0.078560109
17049,IL,Effingham County,0.068763439
17051,IL,Fayette County,0.135732075
17053,IL,Ford County,0.082477501
17055,IL,Franklin County,0.104478167
17057,IL,Fulton County,0.104873909
17059,IL,Gallatin County,0.119685892
17061,IL,Greene County,0.093401487
17063,IL,Grundy County,0.063878545
17065,IL,Hamilton County,0.118368062
17067,IL,Hancock County,0.065928928
17069,IL,Hardin County,0.151877133
17071,IL,Henderson County,0.075436793
17073,IL,Henry County,0.077187554
17075,IL,Iroquois County,0.115565672
17077,IL,Jackson County,0.083709149
17079,IL,Jasper County,0.079705702
17081,IL,Jefferson County,0.101054885
17083,IL,Jersey County,0.07592321
17085,IL,Jo Daviess County,0.077547558
17087,IL,Johnson County,0.169237139
17089,IL,Kane County,0.139708795
17091,IL,Kankakee County,0.104568046
17093,IL,Kendall County,0.063811367
17095,IL,Knox County,0.110623782
17097,IL,Lake County,0.091871708
17099,IL,La Salle County,0.094451885
17101,IL,Lawrence County,0.156346886
17103,IL,Lee County,0.103843856
17105,IL,Livingston County,0.098626667
17107,IL,Logan County,0.096545436
17109,IL,McDonough County,0.049511519
17111,IL,McHenry County,0.06464794
17113,IL,McLean County,0.040123339
17115,IL,Macon County,0.08250724
17117,IL,Macoupin County,0.089128061
17119,IL,Madison County,0.069999194
17121,IL,Marion County,0.110135522
17123,IL,Marshall County,0.075524476
17125,IL,Mason County,0.093638837
17127,IL,Massac County,0.126858372
17129,IL,Menard County,0.042815926
17131,IL,Mercer County,0.074777975
17133,IL,Monroe County,0.046918796
17135,IL,Montgomery County,0.121507975
17137,IL,Morgan County,0.105947955
17139,IL,Moultrie County,0.134513635
17141,IL,Ogle County,0.090471955
17143,IL,Peoria County,0.078232985
17145,IL,Perry County,0.163784067
17147,IL,Piatt County,0.063010899
17149,IL,Pike County,0.088589312
17151,IL,Pope County,0.108777969
17153,IL,Pulaski County,0.107104984
17155,IL,Putnam County,0.066877432
17157,IL,Randolph County,0.149222097
17159,IL,Richland County,0.0766503
17161,IL,Rock Island County,0.109761737
17163,IL,St. Clair County,0.077254849
17165,IL,Saline County,0.121542135
17167,IL,Sangamon County,0.072252394
17169,IL,Schuyler County,0.07593985
17171,IL,Scott County,0.059965734
17173,IL,Shelby County,0.068366471
17175,IL,Stark County,0.104231166
17177,IL,Stephenson County,0.08095283
17179,IL,Tazewell County,0.06776872
17181,IL,Union County,0.107692308
17183,IL,Vermilion County,0.097679692
17185,IL,Wabash County,0.081174439
17187,IL,Warren County,0.121220376
17189,IL,Washington County,0.078649434
17191,IL,Wayne County,0.126118225
17193,IL,White County,0.103123748
17195,IL,Whiteside County,0.086501756
17197,IL,Will County,0.085208288
17199,IL,Williamson County,0.073117831
17201,IL,Winnebago County,0.118238101
17203,IL,Woodford County,0.05719351
18000,IN,Indiana,0.10230129
18001,IN,Adams County,0.137434984
18003,IN,Allen County,0.099369674
18005,IN,Bartholomew County,0.084016724
18007,IN,Benton County,0.115758921
18009,IN,Blackford County,0.091217005
18011,IN,Boone County,0.055906786
18013,IN,Brown County,0.069390512
18015,IN,Carroll County,0.109115244
18017,IN,Cass County,0.153185946
18019,IN,Clark County,0.090921021
18021,IN,Clay County,0.08809082
18023,IN,Clinton County,0.131841604
18025,IN,Crawford County,0.171420883
18027,IN,Daviess County,0.231327049
18029,IN,Dearborn County,0.092395934
18031,IN,Decatur County,0.082184846
18033,IN,DeKalb County,0.090466225
18035,IN,Delaware County,0.095339074
18037,IN,Dubois County,0.10002035
18039,IN,Elkhart County,0.180686669
18041,IN,Fayette County,0.150566451
18043,IN,Floyd County,0.087254421
18045,IN,Fountain County,0.121480709
18047,IN,Franklin County,0.117144678
18049,IN,Fulton County,0.12467848
18051,IN,Gibson County,0.085472747
18053,IN,Grant County,0.117071738
18055,IN,Greene County,0.11639172
18057,IN,Hamilton County,0.027622285
18059,IN,Hancock County,0.066799307
18061,IN,Harrison County,0.097630909
18063,IN,Hendricks County,0.0488383
18065,IN,Henry County,0.092030715
18067,IN,Howard County,0.090986661
18069,IN,Huntington County,0.07172172
18071,IN,Jackson County,0.108588129
18073,IN,Jasper County,0.085603287
18075,IN,Jay County,0.119703467
18077,IN,Jefferson County,0.104692044
18079,IN,Jennings County,0.110941046
18081,IN,Johnson County,0.07230283
